[2025-02-27T11:06:29.192125-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":"1"} []
[2025-02-27T11:18:55.996329-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"25"} []
[2025-02-27T11:19:01.014966-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"25"} []
[2025-02-27T11:19:03.982949-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"25"} []
[2025-02-27T11:20:00.265924-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"25"} []
[2025-02-27T11:20:04.015144-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"25"} []
[2025-02-27T11:20:05.757957-03:00] name.INFO: Página acessada. {"pagina":"ViewUser","parametro":"25"} []
[2025-02-27T11:20:07.127659-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":""} []
[2025-02-27T11:20:08.649818-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":"2"} []
[2025-02-27T11:20:09.962259-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"4"} []
[2025-02-27T11:20:17.399490-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"4"} []
[2025-02-27T11:20:22.881416-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"4"} []
[2025-02-27T11:20:38.312447-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"4"} []
[2025-02-27T11:20:40.274687-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"4"} []
[2025-02-27T11:20:45.208169-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"4"} []
[2025-02-27T11:21:05.993661-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"4"} []
[2025-02-27T11:21:08.430924-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":""} []
[2025-02-27T11:21:11.287701-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":"2"} []
[2025-02-27T11:21:12.160129-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":"3"} []
[2025-02-27T11:21:13.549046-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:21:16.693069-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:21:16.703244-03:00] name.ERROR: Usuário não editado. {"erro":"[object] (PDOException(code: 23000): SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'josemarti' for key 'adms_users.idx_unique_username' at C:\\wamp64\\www\\MVC\\app\\adms\\Models\\Repository\\UsersRepository.php:138)"} []
[2025-02-27T11:21:40.775778-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:21:40.785634-03:00] name.ERROR: Usuário não editado. {"erro":"[object] (PDOException(code: 23000): SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'josemarti' for key 'adms_users.idx_unique_username' at C:\\wamp64\\www\\MVC\\app\\adms\\Models\\Repository\\UsersRepository.php:138)"} []
[2025-02-27T11:21:45.322286-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:21:45.331661-03:00] name.ERROR: Usuário não editado. {"erro":"[object] (PDOException(code: 23000): SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'josemarti' for key 'adms_users.idx_unique_username' at C:\\wamp64\\www\\MVC\\app\\adms\\Models\\Repository\\UsersRepository.php:138)"} []
[2025-02-27T11:21:52.519360-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:21:52.529527-03:00] name.ERROR: Usuário não editado. {"erro":"[object] (PDOException(code: 23000): SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'josemarti' for key 'adms_users.idx_unique_username' at C:\\wamp64\\www\\MVC\\app\\adms\\Models\\Repository\\UsersRepository.php:138)"} []
[2025-02-27T11:21:56.326095-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:21:59.470595-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:21:59.478396-03:00] name.ERROR: Usuário não editado. {"erro":"[object] (PDOException(code: 23000): SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'josemarti' for key 'adms_users.idx_unique_username' at C:\\wamp64\\www\\MVC\\app\\adms\\Models\\Repository\\UsersRepository.php:138)"} []
[2025-02-27T11:22:05.124107-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:06.322891-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":""} []
[2025-02-27T11:22:09.438544-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":"2"} []
[2025-02-27T11:22:10.213160-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":"3"} []
[2025-02-27T11:22:27.542938-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:28.626534-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:31.529722-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:32.341816-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:32.758912-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:32.767373-03:00] name.ERROR: Usuário não editado. {"erro":"dados inválidos"} []
[2025-02-27T11:22:35.005079-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:37.608628-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:38.112101-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:40.989938-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:22:44.012192-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:24:23.089007-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T11:24:36.584209-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T15:11:59.968761-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T15:12:01.216142-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T15:12:04.364095-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T15:12:06.847348-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T15:12:09.447921-03:00] name.INFO: Página acessada. {"pagina":"UpdateUser","parametro":"2"} []
[2025-02-27T15:12:11.184553-03:00] name.INFO: Página acessada. {"pagina":"ListUsers","parametro":""} []
